Product,Issue,Company,State,ZIP code,Complaint ID
debt collection,took threatened take negative legal action,express recovery services inc,UT,841XX,3224712
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,PA,152XX,3224958
checking savings account,managing account,bank of america national association,CA,94578,3224741
debt collection,attempts collect debt owed,ss physician services inc,TX,77095,3224609
credit card prepaid card,advertising marketing including promotional offers,synchrony financial,FL,322XX,3224972
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TN,38401,3224970
debt collection,attempts collect debt owed,convergent resources inc,AZ,863XX,3224889
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,37013,3224977
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,OH,44102,3224987
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,NC,270XX,3225069
debt collection,attempts collect debt owed,encore capital group inc,TX,77491,3224705
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NY,11722,3224525
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,KY,40206,3224909
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,902XX,3225060
credit card prepaid card,advertising marketing including promotional offers,citibank na,IN,462XX,3224535
debt collection,attempts collect debt owed,tsg collections llc,NY,11236,3225041
credit reporting credit repair services personal consumer reports,incorrect information report,emcc holdings llc,CA,902XX,3225132
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,TX,750XX,3225139
debt collection,attempts collect debt owed,transunion intermediate holdings inc,CA,922XX,3224728
vehicle loan lease,unable get credit report credit score,westlake services llc,FL,331XX,3224881
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,922XX,3224734
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NC,270XX,3224774
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NC,270XX,3224806
student loan,dealing lender servicer,aespheaa,TX,752XX,3225161
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NC,270XX,3224767
debt collection,attempts collect debt owed,erc,TX,770XX,3225098
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,948XX,3224568
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,902XX,3225127
checking savings account,managing account,wells fargo  company,MT,591XX,3224761
debt collection,written notification debt,american first finance inc,CA,937XX,3225135
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,td bank us holding company,CA,945XX,3224835
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,GA,30094,3224772
checking savings account,managing account,us bancorp,CO,80021,3225028
credit reporting credit repair services personal consumer reports,incorrect information report,credit karma inc,FL,33161,3224750
credit card prepaid card,problem purchase shown statement,american express company,MD,207XX,3224850
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MD,20904,3224547
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,IA,51501,3224948
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,33169,3225010
credit reporting credit repair services personal consumer reports,incorrect information report,wells fargo  company,PA,170XX,3224661
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,PA,152XX,3224883
debt collection,attempts collect debt owed,biehl  biehl inc,CA,94115,3224666
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,GA,30327,3224579
student loan,dealing lender servicer,nelnet inc,TX,78748,3225164
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,333XX,3224815
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,90293,3225030
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,38401,3224971
credit card prepaid card,closing account,discover bank,MN,551XX,3225123
credit reporting credit repair services personal consumer reports,improper use report,capital one financial corporation,IN,465XX,3224829
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,920XX,3225174
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,CA,91326,3224732
credit card prepaid card,problem overdraft,experian information solutions inc,CA,917XX,3225045
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,GA,30101,3224983
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,ocwen loan servicing llc,GA,30101,3224984
credit reporting credit repair services personal consumer reports,unable get credit report credit score,experian information solutions inc,TN,37091,3224869
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,MN,559XX,3224863
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,92551,3224534
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,OH,432XX,3224692
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,33141,3224695
debt collection,attempts collect debt owed,diversified consultants inc,TX,77084,3224620
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TN,38401,3224961
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,IN,460XX,3224821
mortgage,applying mortgage refinancing existing mortgage,wells fargo  company,NJ,070XX,3224905
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,AR,722XX,3224820
credit reporting credit repair services personal consumer reports,incorrect information report,bank of america national association,NC,270XX,3224805
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,38401,3224931
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,334XX,3225044
credit reporting credit repair services personal consumer reports,improper use report,general motors financial company inc,IN,460XX,3224867
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,902XX,3225025
credit card prepaid card,problem purchase shown statement,bank of america national association,CA,92101,3224813
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,77095,3224596
debt collection,attempts collect debt owed,erc,OH,430XX,3224757
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,OR,97212,3224878
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,141XX,3224689
debt collection,attempts collect debt owed,national credit systemsinc,MD,217XX,3225104
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,334XX,3225004
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,948XX,3224561
mortgage,trouble payment process,servis one inc,GA,30087,3224519
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,equifax inc,OH,454XX,3225121
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,experian information solutions inc,CA,945XX,3224836
credit card prepaid card,problem making payments,capital one financial corporation,MA,021XX,3224932
credit reporting credit repair services personal consumer reports,improper use report,innovis,NJ,08053,3225016
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TN,38401,3224942
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,GA,30101,3224985
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,PA,18360,3224831
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,91744,3224553
debt collection,took threatened take negative legal action,genesis credit management llc,ID,83686,3224729
credit reporting credit repair services personal consumer reports,incorrect information report,synovus bank,FL,33321,3224963
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,PA,152XX,3224957
money transfer virtual currency money service,other service problem,xoom corporation,CA,945XX,3225128
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,33141,3224694
debt collection,written notification debt,american first finance inc,CA,937XX,3224745
debt collection,written notification debt,coast coast financial solutions inc,FL,330XX,3224865
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,MI,48326,3225062
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,330XX,3224572
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,NJ,070XX,3224657
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,330XX,3224926
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,experian information solutions inc,PA,161XX,3224947
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,FL,322XX,3224591
credit card prepaid card,other features terms problems,wells fargo  company,FL,346XX,3224539
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NJ,080XX,3225091
debt collection,written notification debt,hcfs health care financial services inc,OH,432XX,3225118
credit reporting credit repair services personal consumer reports,incorrect information report,phh mortgage services corporation,FL,33421,3224574
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CA,902XX,3225026
debt collection,written notification debt,newman hesse  associates p a,TX,75115,3225066
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,GA,30094,3224780
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,75835,3224913
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,38401,3225007
checking savings account,closing account,bank of america national association,CA,92262,3224910
credit reporting credit repair services personal consumer reports,incorrect information report,bank of america national association,CA,925XX,3224744
mortgage,struggling pay mortgage,select portfolio servicing inc,MD,21136,3224839
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,334XX,3225008
debt collection,attempts collect debt owed,mrs bpo llc,CA,926XX,3224902
vehicle loan lease,getting loan lease,bridgecrest acceptance corporation,PA,191XX,3225103
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,TN,37091,3224868
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TN,37013,3224974
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,38401,3224724
credit reporting credit repair services personal consumer reports,incorrect information report,united services automobile association,VA,22134,3224601
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,GA,30038,3224794
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,MD,207XX,3224838
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,33177,3224854
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,331XX,3224752
credit reporting credit repair services personal consumer reports,incorrect information report,charleston area medical center,NJ,080XX,3225087
credit reporting credit repair services personal consumer reports,incorrect information report,valley national bancorp,AL,35124,3224999
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TN,38401,3224992
debt collection,false statements representation,hunter warfield inc,AR,72120,3224739
credit card prepaid card,problem making payments,synchrony financial,VA,23231,3224809
student loan,dealing lender servicer,navient solutions llc,WA,98391,3225190
credit reporting credit repair services personal consumer reports,improper use report,id analytics inc,VA,24112,3224944
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,encore capital group inc,AZ,853XX,3224912
debt collection,attempts collect debt owed,navy federal credit union,MS,395XX,3225122
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,331XX,3225078
mortgage,closing mortgage,primary residential mortgage,NJ,076XX,3224538
checking savings account,problem lender company charging account,suntrust banks inc,PA,19144,3224917
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IL,62269,3224945
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,27278,3225095
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NJ,07724,3224812
mortgage,struggling pay mortgage,bank of america national association,CA,91770,3224567
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,322XX,3224716
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NJ,08701,3224796
student loan,dealing lender servicer,ascendium education group,LA,70117,3225063
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,CT,06902,3224558
checking savings account,managing account,jpmorgan chase  co,CA,920XX,3224980
credit reporting credit repair services personal consumer reports,improper use report,capital one financial corporation,NC,284XX,3224738
checking savings account,managing account,navy federal credit union,NC,272XX,3224697
checking savings account,opening account,goldman sachs bank usa,MI,480XX,3224903
debt collection,took threatened take negative legal action,aqua finance inc,FL,347XX,3225154
credit card prepaid card,getting credit card,jpmorgan chase  co,OH,43230,3224790
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,capital one financial corporation,GA,30101,3224876
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,75951,3224900
debt collection,attempts collect debt owed,waypoint resource group llc,TX,770XX,3225119
mortgage,trouble payment process,lakeview loan servicing llc,TX,752XX,3224880
debt collection,attempts collect debt owed,portfolio recovery associates inc,NC,27886,3225114
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,IA,51501,3224943
debt collection,attempts collect debt owed,sca collections inc,NC,27886,3225151
debt collection,attempts collect debt owed,cl holdings llc,GA,300XX,3224892
student loan,dealing lender servicer,navient solutions llc,CA,94503,3225195
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,77095,3224595
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,FL,322XX,3224580
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,GA,301XX,3224658
debt collection,written notification debt,coast coast financial solutions inc,FL,330XX,3224862
debt collection,attempts collect debt owed,encore capital group inc,TX,77070,3224559
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,331XX,3225079
debt collection,attempts collect debt owed,procollect inc,TX,770XX,3225111
mortgage,trouble payment process,specialized loan servicing llc,CA,92021,3225032
mortgage,incorrect information report,suntrust banks inc,CA,945XX,3225146
credit reporting credit repair services personal consumer reports,improper use report,transunion intermediate holdings inc,MI,48326,3225101
credit reporting credit repair services personal consumer reports,improper use report,synchrony financial,CA,906XX,3225143
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,OH,432XX,3224622
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,OH,43211,3224698
credit reporting credit repair services personal consumer reports,unable get credit report credit score,transunion intermediate holdings inc,MI,48127,3224672
credit reporting credit repair services personal consumer reports,improper use report,jpmorgan chase  co,IN,460XX,3224825
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,AR,722XX,3224823
debt collection,attempts collect debt owed,diversified consultants inc,TX,775XX,3224679
debt collection,attempts collect debt owed,hcfs health care financial services inc,TX,770XX,3225093
debt collection,attempts collect debt owed,navient solutions llc,TX,798XX,3225186
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,OH,430XX,3224906
debt collection,attempts collect debt owed,online information services inc,FL,32822,3224841
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,92551,3224577
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,MO,631XX,3224686
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NJ,080XX,3225092
debt collection,attempts collect debt owed,cmre financial services inc,TX,77095,3224605
credit reporting credit repair services personal consumer reports,unable get credit report credit score,experian information solutions inc,MI,48127,3224674
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,281XX,3224592
debt collection,attempts collect debt owed,wakefield  associates inc,GA,300XX,3224621
debt collection,written notification debt,ccs financial services inc,CA,937XX,3224755
debt collection,attempts collect debt owed,afni inc,TX,770XX,3225089
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,OH,430XX,3224678
credit card prepaid card,advertising marketing including promotional offers,citibank na,NY,11229,3224860
credit card prepaid card,fees interest,bank of america national association,MA,014XX,3224899
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NC,28376,3224537
debt collection,attempts collect debt owed,hcfs health care financial services inc,TX,770XX,3225090
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,77084,3224618
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,334XX,3225002
credit reporting credit repair services personal consumer reports,incorrect information report,choice recovery inc,OH,432XX,3225147
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,NY,11576,3225048
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TN,38401,3224722
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,AR,722XX,3224824
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,334XX,3225011
checking savings account,managing account,bank of america national association,IL,60560,3224990
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,IA,51501,3224935
credit card prepaid card,other features terms problems,synchrony financial,FL,34120,3225024
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,TN,38401,3225015
debt collection,attempts collect debt owed,citibank na,TX,786XX,3224789
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,FL,333XX,3225120
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,91786,3224684
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TN,38401,3224969
mortgage,trouble payment process,us bancorp,ID,83237,3225038
debt collection,written notification debt,portfolio recovery associates inc,PA,191XX,3224978
debt collection,written notification debt,portfolio recovery associates inc,GA,303XX,3224668
credit reporting credit repair services personal consumer reports,improper use report,jpmorgan chase  co,GA,303XX,3225051
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,CA,94404,3224615
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NJ,08701,3224795
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,75057,3223555
debt collection,attempts collect debt owed,frontline asset strategies llc,OH,44124,3224215
payday loan title loan personal loan,charged fees interest expect,citibank na,PA,186XX,3223985
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,322XX,3223274
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,IN,460XX,3223457
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CA,91744,3224506
debt collection,attempts collect debt owed,equifax inc,TX,772XX,3223398
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,MA,021XX,3223375
money transfer virtual currency money service,fraud scam,wells fargo  company,CA,926XX,3224295
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,MO,630XX,3223382
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,portfolio recovery associates inc,PA,156XX,3223312
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,NJ,07470,3223560
credit reporting credit repair services personal consumer reports,incorrect information report,world acceptance corporation,SC,294XX,3223735
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,334XX,3223494
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,AK,996XX,3223434
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,AR,722XX,3223684
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,CO,81141,3224248
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NV,89044,3224075
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,270XX,3223491
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,FL,334XX,3223493
credit card prepaid card,other features terms problems,discover bank,UT,841XX,3223495
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,IL,605XX,3223907
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,CA,90025,3223922
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NY,114XX,3223233
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,TX,75154,3223913
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,117XX,3224473
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,134XX,3223784
student loan,incorrect information report,nelnet inc,CA,92571,3223502
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,75205,3223346
student loan,struggling repay loan,navient solutions llc,NY,12518,3223513
credit reporting credit repair services personal consumer reports,problem fraud alerts security freezes,equifax inc,MO,631XX,3223415
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,TX,78667,3224137
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,28278,3224501
credit card prepaid card,advertising marketing including promotional offers,bbt corporation,NC,28561,3224186
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NJ,071XX,3223557
mortgage,struggling pay mortgage,navy federal credit union,NC,275XX,3223965
mortgage,struggling pay mortgage,select portfolio servicing inc,VT,05738,3224150
checking savings account,managing account,suntrust banks inc,SC,298XX,3224363
credit reporting credit repair services personal consumer reports,unable get credit report credit score,experian information solutions inc,VA,23322,3223859
credit reporting credit repair services personal consumer reports,improper use report,equifax inc,IN,46060,3223449
debt collection,attempts collect debt owed,alliance data card services,RI,028XX,3223651
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NV,89025,3223857
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,334XX,3223372
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,CA,92545,3223655
credit reporting credit repair services personal consumer reports,improper use report,experian information solutions inc,CO,801XX,3224018
credit card prepaid card,problem making payments,bank of america national association,NC,28540,3224190
credit card prepaid card,problem purchase shown statement,jpmorgan chase  co,CA,95008,3223670
credit reporting credit repair services personal consumer reports,unable get credit report credit score,transunion intermediate holdings inc,CA,92545,3223628
credit card prepaid card,problem purchase shown statement,citibank na,NY,105XX,3224451
debt collection,took threatened take negative legal action,resurgent capital services lp,NJ,082XX,3223599
payday loan title loan personal loan,problem making payments,onemain financial holdings llc,OK,731XX,3223536
debt collection,attempts collect debt owed,sarma,NC,28532,3224365
credit reporting credit repair services personal consumer reports,incorrect information report,equifax inc,NY,117XX,3224478
credit reporting credit repair services personal consumer reports,incorrect information report,ally financial inc,PA,168XX,3224395
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,323XX,3223546
credit reporting credit repair services personal consumer reports,credit monitoring identity theft protection services,experian information solutions inc,VA,240XX,3223881
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NC,270XX,3224375
debt collection,attempts collect debt owed,hcfs health care financial services inc,TX,77089,3223686
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CT,06851,3224483
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NY,114XX,3223237
money transfer virtual currency money service,fraud scam,bbt corporation,GA,31907,3223482
credit reporting credit repair services personal consumer reports,incorrect information report,checkr inc,GA,300XX,3224269
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,VA,232XX,3223428
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,91744,3224504
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,NY,11722,3224523
checking savings account,problem caused funds low,capital one financial corporation,NY,11225,3223848
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,277XX,3223469
credit card prepaid card,closing account,american express company,TX,76131,3224256
checking savings account,managing account,navy federal credit union,OH,45040,3223308
credit card prepaid card,problem purchase transfer,square inc,FL,32828,3229160
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,equifax inc,FL,32738,3224168
mortgage,trouble payment process,nationstar mortgage,FL,34205,3223281
credit card prepaid card,closing account,united services automobile association,MT,594XX,3224446
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,TX,78667,3224138
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,OH,44240,3224397
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,333XX,3224028
credit card prepaid card,problem making payments,american express company,CA,914XX,3224430
credit reporting credit repair services personal consumer reports,incorrect information report,lending club corp,AR,722XX,3223691
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,334XX,3223496
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,OH,43235,3223480
credit reporting credit repair services personal consumer reports,unable get credit report credit score,transunion intermediate holdings inc,IL,606XX,3223687
vehicle loan lease,problems end loan lease,santander consumer usa holdings inc,FL,331XX,3224472
credit card prepaid card,closing account,synovus bank,MD,217XX,3224231
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,bth management,OH,436XX,3223788
debt collection,attempts collect debt owed,convergent resources inc,CA,91344,3223721
credit reporting credit repair services personal consumer reports,incorrect information report,santander consumer usa holdings inc,MA,021XX,3223777
debt collection,written notification debt,hcfs health care financial services inc,FL,33027,3223549
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,CA,90220,3224349
credit card prepaid card,fees interest,bank of america national association,NJ,070XX,3224260
student loan,dealing lender servicer,navient solutions llc,CA,95776,3223995
debt collection,attempts collect debt owed,ic system inc,CO,80233,3223316
mortgage,struggling pay mortgage,nationstar mortgage,FL,330XX,3224279
debt collection,attempts collect debt owed,transunion intermediate holdings inc,TX,77085,3223370
credit reporting credit repair services personal consumer reports,incorrect information report,lending club corp,MI,48374,3223570
credit card prepaid card,advertising marketing including promotional offers,td bank us holding company,CA,954XX,3224530
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,270XX,3224376
checking savings account,managing account,comerica,NV,89074,3224288
money transfer virtual currency money service,other transaction problem,moneygram payment systems worldwide inc,IL,600XX,3224314
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,PA,19146,3223292
mortgage,struggling pay mortgage,select portfolio servicing inc,GA,30087,3224374
checking savings account,closing account,jpmorgan chase  co,CA,93710,3224173
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,NC,270XX,3223504
checking savings account,managing account,citibank na,NY,10001,3223516
debt collection,attempts collect debt owed,the outsource group inc,CO,80233,3223313
credit card prepaid card,closing account,citibank na,TX,760XX,3224084
credit reporting credit repair services personal consumer reports,unable get credit report credit score,equifax inc,VA,23322,3223861
debt collection,attempts collect debt owed,express recovery services inc,CO,80233,3223309
credit card prepaid card,problem purchase transfer,blackhawk network holdings inc,GA,31907,3223302
debt collection,attempts collect debt owed,transunion intermediate holdings inc,TX,772XX,3223399
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,331XX,3223902
checking savings account,closing account,american express company,MA,021XX,3223940
debt collection,written notification debt,commonwealth financial systems inc,FL,339XX,3224500
checking savings account,problem caused funds low,bank of america national association,TX,750XX,3224207
credit reporting credit repair services personal consumer reports,improper use report,nissan motor acceptance corporation,FL,322XX,3223229
checking savings account,managing account,ally financial inc,AZ,85938,3224148
checking savings account,managing account,wells fargo  company,CA,914XX,3224170
debt collection,communication tactics,aldridge pite haan llp,GA,302XX,3224128
debt collection,attempts collect debt owed,encore capital group inc,CA,94608,3224103
mortgage,trouble payment process,suntrust banks inc,NC,281XX,3223805
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,transunion intermediate holdings inc,NC,27565,3223978
money transfer virtual currency money service,other transaction problem,bank of america national association,FL,33634,3224270
mortgage,struggling pay mortgage,pnc bank na,AL,35806,3224398
credit reporting credit repair services personal consumer reports,problem credit reporting companys investigation existing problem,experian information solutions inc,NC,270XX,3223466
debt collection,took threatened take negative legal action,metro collection service inc,VA,223XX,3223633
credit reporting credit repair services personal consumer reports,incorrect information report,transunion intermediate holdings inc,MI,48047,3224347
credit reporting credit repair services personal consumer reports,improper use report,factual data corp,DE,19973,3224048
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,FL,330XX,3223265
credit reporting credit repair services personal consumer reports,incorrect information report,experian information solutions inc,SC,290XX,3223974
checking savings account,managing account,jpmorgan chase  co,NV,89138,3224502
